arm,cfg_tar,tstart,n,lpaps,lpaps_sem,clap,clap_sem,muq,muq_sem,clap_dir,clap_dir_sem,mulan_dir,mulan_dir_sem
ODEInv + LoRA @4000,3.5,75,115,5.26185869662658,0.06673483483111546,0.3205064276130734,0.00840942668999954,0.2689304167971663,0.013455245904697743,0.2522305440967498,0.013963253836704612,0.3169141361651861,0.015754122742225016
ODEInv + LoRA @4000,3.5,99,115,5.354470229425293,0.06832372131643145,0.31475956297655033,0.00804839818801765,0.2710442143932754,0.012971827890185432,0.2526373070219289,0.013935463393183132,0.3172088857902133,0.015685905759163735
ODEInv + LoRA @4000,7.0,25,115,2.964293778633725,0.04069849202840817,0.2513227795400535,0.011470167579455032,0.17954034730792046,0.01745655310371652,0.09023899931622587,0.010725162990257678,0.1375380814237439,0.013825134510883314
ODEInv + LoRA @4000,7.0,50,115,4.8772956477040825,0.0563873903719122,0.33619466568113887,0.008260971993667746,0.27279862497690255,0.014962628786193295,0.24554221136090548,0.013915766381822972,0.3202650611977214,0.01675760895093039
ODEInv + LoRA @4000,7.0,75,115,5.5998616087609445,0.06223168438907525,0.3349538519301627,0.008048345338843979,0.30471772954839726,0.0124777894505828,0.27049559547525387,0.014724975624116874,0.34894415638207094,0.015863827393389283
ODEInv + LoRA @4000,7.0,99,115,5.662239208774291,0.06307009661708413,0.32728400923797624,0.008526792684442263,0.3059497786928778,0.012331679859808556,0.26379639015573525,0.014627036299944109,0.34911773786272693,0.0156359286006649
ODEInv + cycle k=2,3.5,25,115,2.874257347583771,0.03890071758103793,0.2437992513201375,0.011538181216162112,0.17372845566791037,0.01750528699400923,0.07057957175471209,0.010632007243804815,0.11430797661128249,0.012874050551679755
ODEInv + cycle k=2,3.5,50,115,4.436607750809711,0.059248148274827876,0.3086071820609757,0.009338764215543511,0.2325274497500884,0.01582187934514101,0.21458656195065248,0.013537291255260996,0.2677490258022495,0.015949138414115223
ODEInv + cycle k=2,3.5,75,115,5.2630864710393155,0.06660622491369797,0.3201260094646958,0.008423222395414638,0.26936241500079633,0.013420240827901853,0.2519725616697384,0.013962412836353391,0.31794599223396053,0.015703383769141658
ODEInv + cycle k=2,3.5,99,115,5.3538234439103505,0.06833302008756194,0.31431252294638445,0.008078054278034192,0.2702835192863384,0.012961545203314157,0.2522731461521724,0.013965260169382796,0.3170835469161039,0.015697571416230464
ODEInv + cycle k=3,3.5,25,115,2.87474794221961,0.03894007161583439,0.2438425343209688,0.01154086690938624,0.17381377869650075,0.017517151188825852,0.07059187946193242,0.010618207071300487,0.11451382211045077,0.012885446009762498
ODEInv + cycle k=3,3.5,50,115,4.4355273362519085,0.05919926477246342,0.30852504570442046,0.009337135620824258,0.23239762458201174,0.015846524975406503,0.21447612768363045,0.013524970081981735,0.26751392124139745,0.015953226464977776
ODEInv + cycle k=3,3.5,75,115,5.263235090504521,0.0665630866338861,0.3202537616069657,0.008419232523134753,0.26945645816462194,0.013410989252785227,0.25223548060040113,0.013937277678281108,0.3179499115632928,0.015714544619917
ODEInv + cycle k=3,3.5,99,115,5.35397798438003,0.06832083534066383,0.31426453117281195,0.008067341189085463,0.2701775994561815,0.01294968833354476,0.2523534178247918,0.013941772984458875,0.3165539012250045,0.015729915448909053
SDEdit,3.5,25,115,4.250724230814671,0.04236903577569971,0.24139163579022427,0.011146656320328545,0.16300026215207966,0.016394308877605544,0.07661348625450677,0.011312428371751929,0.15896263576882042,0.013764124704909472
SDEdit,3.5,50,115,6.1450417490973,0.04099600737771249,0.33626420635055154,0.008864821039527118,0.2569736961275339,0.013738820509624402,0.25072987917000833,0.014164999811557728,0.3270563369373912,0.01783055080923127
SDEdit,3.5,75,115,6.480085491443027,0.040682384586786566,0.32843678080240624,0.008668250842150744,0.28116702183311726,0.013115174586633414,0.26639020993657736,0.015640488522809755,0.34232787720697083,0.01695775514682945
SDEdit,3.5,99,115,6.500526921921882,0.042616832555702915,0.32886688355329446,0.008275980312268798,0.2790781616638212,0.01292910635292616,0.2727849140682298,0.015016268610068537,0.34188765680174465,0.017213853036614993
SDEdit,7.0,25,115,4.27952752676563,0.04193569406081142,0.2551306500347952,0.011192263199120011,0.17588865195765443,0.016465194603227942,0.09584094424853504,0.012092789356365392,0.1801180583789297,0.0143247893658709
SDEdit,7.0,50,115,6.236370052738466,0.040822315708872826,0.3662273216630886,0.007999292414126788,0.31627267093762107,0.01332492024101351,0.2758475787856657,0.015080493564990482,0.36112814865520465,0.017542756025950467
SDEdit,7.0,75,115,6.512597964604695,0.04038023014633947,0.34436426759481537,0.008385666998809728,0.3056450691964963,0.013201315438056482,0.271000601950547,0.015633551462401748,0.3551537891768891,0.016655846302623283
SDEdit,7.0,99,115,6.512662244534147,0.04210619132556246,0.34239674883273735,0.007790593295214347,0.3046715528258811,0.013350152382456338,0.2681871613973509,0.015198848908026781,0.3551077891141176,0.01703974187661708
